service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7W SHOW #1 SCH WED,0,0,0,0,0,0,0,20190512,20190810
7E SHOW SCHWED,0,0,0,0,0,0,0,20190512,20190810
1S SHOW SCHWED,0,0,0,0,0,0,0,20190512,20190810
16A#3 SHOW SCHWED,0,0,0,0,0,0,0,20190512,20190810
5W SHOW #3 MF,0,0,0,0,0,0,0,20190512,20190810
CENTRAL EXP SCHMF,0,0,0,0,0,0,0,20190512,20190810
GR3 SU,0,0,0,0,0,0,0,20190512,20190810
B2 MF,0,0,0,0,0,0,0,20190512,20190810
SV1 SU,0,0,0,0,0,0,0,20190512,20190810
BB2 MF,0,0,0,0,0,0,0,20190512,20190810
GN2 SU,0,0,0,0,0,0,0,20190512,20190810
1N SHOW SCHWED,0,0,0,0,0,0,0,20190512,20190810
GN8 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
5E#3 SHOWWED,0,0,0,0,0,0,0,20190512,20190810
1N SHOW SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
R1 SA,0,0,0,0,0,0,0,20190512,20190810
5W #1 SHOW SCHMF,0,0,0,0,0,0,0,20190512,20190810
GN1 SU,0,0,0,0,0,0,0,20190512,20190810
LM1 SA,0,0,0,0,0,0,0,20190512,20190810
16A#1 SHOW SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
SV1 SA,0,0,0,0,0,0,0,20190512,20190810
GN1 SA,0,0,0,0,0,0,0,20190512,20190810
L1 SA,0,0,0,0,0,0,0,20190512,20190810
N3 SCHWED,0,0,0,0,0,0,0,20190512,20190810
N2 MF,0,0,0,0,0,0,0,20190512,20190810
GNX2 MF,0,0,0,0,0,0,0,20190512,20190810
G3 MF,0,0,0,0,0,0,0,20190512,20190810
GN3 SCHMF,0,0,0,0,0,0,0,20190512,20190810
GN4 MF,0,0,0,0,0,0,0,20190512,20190810
O3 MF,0,0,0,0,0,0,0,20190512,20190810
RUB2 SCHWED,0,0,0,0,0,0,0,20190512,20190810
3S SHOW #1 SCHWED,0,0,0,0,0,0,0,20190512,20190810
Y3 MF,0,0,0,0,0,0,0,20190512,20190810
T2 SAcopy[2019-6-8],0,0,0,0,0,0,0,20190512,20190810
16A#3 SHOW SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
GNX1 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
N3 SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
GN1 MF,0,0,0,0,0,0,0,20190512,20190810
T2 SU[2019-5-19],0,0,0,0,0,0,0,20190512,20190810
O4 MF,0,0,0,0,0,0,0,20190512,20190810
R3 MF,0,0,0,0,0,0,0,20190512,20190810
Y3 SA,0,0,0,0,0,0,0,20190512,20190810
GR1 SU,0,0,0,0,0,0,0,20190512,20190810
3S / 5W SHOW SCH,0,0,0,0,0,0,0,20190512,20190810
BZ1 SCHMF,0,0,0,0,0,0,0,20190512,20190810
Y1 SA,0,0,0,0,0,0,0,20190512,20190810
GNX1 SCHMF,0,0,0,0,0,0,0,20190512,20190810
GN3 SA,0,0,0,0,0,0,0,20190512,20190810
Y2 MF,0,0,0,0,0,0,0,20190512,20190810
T1 SAcopy[2019-6-8],0,0,0,0,0,0,0,20190512,20190810
R5 MF,0,0,0,0,0,0,0,20190512,20190810
SV4 SCHWED,0,0,0,0,0,0,0,20190512,20190810
9A SHOW SCHWED,0,0,0,0,0,0,0,20190512,20190810
R1 MF,0,0,0,0,0,0,0,20190512,20190810
Y1 MF,0,0,0,0,0,0,0,20190512,20190810
Y1 SU,0,0,0,0,0,0,0,20190512,20190810
GNX1 SHOW SCHWED,0,0,0,0,0,0,0,20190512,20190810
Y5 SU,0,0,0,0,0,0,0,20190512,20190810
RUB1 SA,0,0,0,0,0,0,0,20190512,20190810
SV4 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
LM2 SA,0,0,0,0,0,0,0,20190512,20190810
G1 MF,0,0,0,0,0,0,0,20190512,20190810
GN8 BACKUP SCHMF,0,0,0,0,0,0,0,20190512,20190810
R2 SA,0,0,0,0,0,0,0,20190512,20190810
I8/4S NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
I1 MF,0,0,0,0,0,0,0,20190512,20190810
GR1 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
BB4 SCHMF,0,0,0,0,0,0,0,20190512,20190810
7W / 5E #2 SCHWED,0,0,0,0,0,0,0,20190512,20190810
GN6 SCHMF,0,0,0,0,0,0,0,20190512,20190810
BA2 MF,0,0,0,0,0,0,0,20190512,20190810
GN8 SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
SV1 SU[2019-5-19],0,0,0,0,0,0,0,20190512,20190810
B1 MF,0,0,0,0,0,0,0,20190512,20190810
GR4 MF,0,0,0,0,0,0,0,20190512,20190810
BZ2 SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
T1 MF[2019-5-13],0,0,0,0,0,0,0,20190512,20190810
O1 MF,0,0,0,0,0,0,0,20190512,20190810
BB1 MF,0,0,0,0,0,0,0,20190512,20190810
R3 SA,0,0,0,0,0,0,0,20190512,20190810
7W SHOW #2 SCH WED,0,0,0,0,0,0,0,20190512,20190810
GN3 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
GN2 MF,0,0,0,0,0,0,0,20190512,20190810
RUB2 SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
ORANGE / GREEN SCHMF,0,0,0,0,0,0,0,20190512,20190810
SRE1 MF,0,0,0,0,0,0,0,20190512,20190810
T3 MF,0,0,0,0,0,0,0,20190512,20190810
P2 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
SV4 SCHMF,0,0,0,0,0,0,0,20190512,20190810
Y2 SA,0,0,0,0,0,0,0,20190512,20190810
B3 SCHMF,0,0,0,0,0,0,0,20190512,20190810
Y4 SA,0,0,0,0,0,0,0,20190512,20190810
16B#1 SHOW SCHMF,0,0,0,0,0,0,0,20190512,20190810
5W #2 SHOW SCHMF,0,0,0,0,0,0,0,20190512,20190810
RV1 MF V1,0,0,0,0,0,0,0,20190512,20190810
6E/7E SHOW SCHWED,0,0,0,0,0,0,0,20190512,20190810
7E/5E SHOW SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
GN7 MF,0,0,0,0,0,0,0,20190512,20190810
T1 SU[2019-5-19],0,0,0,0,0,0,0,20190512,20190810
P2 SCHMF,0,0,0,0,0,0,0,20190512,20190810
GN6 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
5E SHOW MF,0,0,0,0,0,0,0,20190512,20190810
GREY MF SHOW SCHMF,0,0,0,0,0,0,0,20190512,20190810
GR1 SCHMF,0,0,0,0,0,0,0,20190512,20190810
L1 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
Y5 MF,0,0,0,0,0,0,0,20190512,20190810
L1 SU,0,0,0,0,0,0,0,20190512,20190810
Y2 SU,0,0,0,0,0,0,0,20190512,20190810
3N SHOW#1 SCHMF,0,0,0,0,0,0,0,20190512,20190810
B4 SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
7W SHOW SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
RUB1 MF,0,0,0,0,0,0,0,20190512,20190810
Y6 SCHMF,0,0,0,0,0,0,0,20190512,20190810
R2 MF,0,0,0,0,0,0,0,20190512,20190810
G4 MF,0,0,0,0,0,0,0,20190512,20190810
P1 MF,0,0,0,0,0,0,0,20190512,20190810
6E SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
I1 SU,0,0,0,0,0,0,0,20190512,20190810
1N#2 SHOW SCHMF,0,0,0,0,0,0,0,20190512,20190810
SV2 MF,0,0,0,0,0,0,0,20190512,20190810
9A SHOW MTTF,0,0,0,0,0,0,0,20190512,20190810
GN3 SU,0,0,0,0,0,0,0,20190512,20190810
T2 SA,0,0,0,0,0,0,0,20190512,20190810
9B / 7E SHOW SCHMF,0,0,0,0,0,0,0,20190512,20190810
5E / 8BZ SCHWED,0,0,0,0,0,0,0,20190512,20190810
N1 MF,0,0,0,0,0,0,0,20190512,20190810
L2 SCHMF,0,0,0,0,0,0,0,20190512,20190810
7W SHOW  SCHMTTF,0,0,0,0,0,0,0,20190512,20190810
L2 SA,0,0,0,0,0,0,0,20190512,20190810
GNX4 MF,0,0,0,0,0,0,0,20190512,20190810
B3 NOSCHMF,0,0,0,0,0,0,0,20190512,20190810
GN2 SA,0,0,0,0,0,0,0,20190512,20190810
T2 SU,0,0,0,0,0,0,0,20190512,20190810
BZ2 SCHWED,0,0,0,0,0,0,0,20190512,20190810
