route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GREEN,GN1 MF,GN1PO__GN1_MF,Illini Union,1,GN1 MF,GN1PO
GREEN,GN1 MF,1GN500__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5WIUE->
GREEN,GN1 MF,[@14.0.51573013@][3][1284041816250]/0__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]57
GREEN,GN1 MF,[@15.0.68508734@][3][1375908093213]/0__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]58
GREEN,GN1 MF,[@14.0.51573013@][3][1284041844000]/1__GN1_MF,Main & Brady,0,GN1 MF,GREEN 37
GREEN,GN1 MF,[@14.0.51573013@][4][1283961701437]/0__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,GREEN 905
GREEN,GN1 MF,[@14.0.51573013@][4][1283961712890]/1__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,GREEN 907
GREEN,GN1 MF,[@15.0.66064718@][3][1356532933096]/0__GN1_MF,Main & Brady,0,GN1 MF,5E
GREEN,GN1 MF,1GN507__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-AM
GREEN,GN1 MF,1GN508__GN1_MF,Main & Brady,0,GN1 MF,5E
GREEN,GN1 MF,1GN509__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-AM
GREEN,GN1 MF,1GN510__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]48
GREEN,GN1 MF,1GN511__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-PM
GREEN,GN1 MF,1GN512__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]48
GREEN,GN1 MF,1GN513__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-PM
GREEN,GN1 MF,1GN514__GN1_MF,Main & Brady,0,GN1 MF,5ETOCF
GREEN,GN1 MF,1GN515__GN1_MF,Florida & Philo - Savannah Green,0,GN1 MF,[@15.0.68508734@]66
GREEN,GN1 MF,1GN516__GN1_MF,Illini Union,1,GN1 MF,5W->IUE
GREEN EXPRESS,GN1 MF,1GN517__GN1_MF,Curtis & Wynstone,1,GN1 MF,5WXIUE->DNST
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/51__BB1_MF,Round Barn Road,1,BB1 MF,[@124.0.123534654@]754
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/28__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]591
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/52__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]593
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/65__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]11
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/40__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]366
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/44__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]366
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/34__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]366
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/32__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]366
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/46__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]366
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/66__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]11
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/42__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]366
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/43__BB1_MF,Parkland College,1,BB1 MF,[@124.0.123534654@]366
BROWN,BB1 MF,[@124.0.123534654@][1552400172772]/30__BB1_MF,Transit Plaza,1,BB1 MF,[@124.0.123534654@]138
PINK,P2 NOSCHMF,[@124.0.123350211@][1551973208318]/43__P2_NOSCHMF,Round Barn Road,1,P2 NOSCHMF,[@124.0.123350211@]104
PINK,P2 NOSCHMF,[@124.0.123350211@][1551973208318]/8__P2_NOSCHMF,Round Barn Road,1,P2 NOSCHMF,[@124.0.123350211@]103
PINK,P2 NOSCHMF,[@124.0.123350211@][1551973208318]/12__P2_NOSCHMF,Round Barn Road,1,P2 NOSCHMF,[@124.0.123350211@]103
PINK,P2 NOSCHMF,[@124.0.123350211@][1551973208318]/10__P2_NOSCHMF,Round Barn Road,1,P2 NOSCHMF,[@124.0.123350211@]103
PINK,P2 NOSCHMF,[@124.0.123350211@][1551973208318]/14__P2_NOSCHMF,Round Barn Road,1,P2 NOSCHMF,[@124.0.123350211@]103
